City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max_Temp,Temp,Wind_Speed
yokadouma,cm,92,1527813178,99,3.52,15.05,68,68,2.93
panormos,gr,24,1527813178,92,38.37,22.25,62.96,62.96,3.38
flinders,au,75,1527807600,58,-34.58,150.85,53.6,53.6,16.11
sakakah,sa,,,,,,,,
ormara,pk,48,1527813179,93,25.21,64.64,79.97,79.97,9.19
yulara,au,0,1527811200,32,-25.24,130.99,51.8,51.8,10.29
lushunkou,cn,,,,,,,,
muisne,ec,76,1527813179,78,0.61,-80.02,78.98,78.98,4.61
tra vinh,vn,88,1527813180,100,9.93,106.35,77.9,77.9,3.71
tres picos,mx,90,1527810660,51,16.23,-93.58,84.2,84.2,12.75
kodiak,us,1,1527810780,43,39.95,-94.76,89.6,89.6,5.82
denia,es,0,1527813112,93,38.84,0.11,68.18,68.18,9.42
ostrovnoy,ru,32,1527813180,88,68.05,39.51,25.97,25.97,4.38
alice springs,au,0,1527811200,34,-23.7,133.88,50,50,4.7
toliary,mg,,,,,,,,
roald,no,92,1527810600,100,62.58,6.12,62.6,60.33,5.82
verkh-usugli,ru,0,1527813181,52,52.7,115.17,70.7,70.7,3.38
sechura,pe,0,1527813181,81,-5.56,-80.82,70.34,70.34,12.21
clearwater,us,90,1527812100,88,27.97,-82.8,82.4,81.12,6.17
areia branca,br,40,1527811200,65,-10.76,-37.31,80.6,80.6,11.41
yoichi,jp,75,1527810180,82,43.19,140.77,59,59,14.99
pangody,ru,80,1527813182,94,65.85,74.49,33.8,33.8,20.49
severo-kurilsk,ru,0,1527813182,92,50.68,156.12,42.08,42.08,0.36
konevo,ru,0,1527813183,74,41.67,25.61,53.87,53.87,3.04
galiwinku,au,,,,,,,,
port keats,au,0,1527813183,64,-14.25,129.55,75.29,75.29,13.33
balkanabat,tm,0,1527813183,74,39.51,54.36,61.43,61.43,0.58
faya,td,0,1527811200,60,18.39,42.45,71.6,71.6,2.48
turukhansk,ru,0,1527813184,88,65.8,87.96,25.97,25.97,4.61
tupancireta,br,92,1527813184,98,-29.08,-53.84,62.6,62.6,1.25
hovd,mn,40,1527810600,72,63.83,10.7,59,57.13,12.75
gurgan,az,,,,,,,,
kuruman,za,0,1527813185,65,-27.46,23.43,31.64,31.64,4.5
bandar-e lengeh,ir,0,1527811200,37,26.56,54.88,84.2,84.2,11.21
udachnyy,ru,36,1527813185,87,66.42,112.4,39.2,39.2,8.86
victoria,sc,90,1527811200,88,5.28,115.24,78.8,77.79,4.7
mitsamiouli,km,36,1527813185,100,-11.38,43.28,78.35,78.35,11.65
narsaq,gl,20,1527810600,65,60.91,-46.05,44.6,44.6,2.24
ruatoria,nz,,,,,,,,
kintinku,tz,0,1527813186,76,-5.89,35.22,67.55,67.55,9.98
salinopolis,br,20,1527813186,100,-0.61,-47.36,80.6,80.6,11.43
kirkenes,no,92,1527810600,87,69.73,30.05,46.4,46.4,13.87
san patricio,mx,92,1527813021,100,-26.98,-56.83,65.93,65.93,2.71
ures,mx,0,1527813187,31,30.73,-112.95,87.17,87.17,10.42
chikwawa,mw,0,1527813187,91,-16.03,34.79,56.93,56.93,3.15
solsvik,no,,,,,,,,
hihifo,to,,,,,,,,
mogadishu,so,36,1527813187,100,2.04,45.34,78.62,78.62,15.79
hilo,us,90,1527811380,88,19.71,-155.08,73.4,72.37,6.93
charagua,bo,90,1527807600,93,-19.79,-63.2,64.4,64.4,5.82
kyle,us,1,1527810960,46,29.99,-97.88,96.8,93.97,18.34
eregli,tr,92,1527813189,100,37.51,34.05,54.05,54.05,3.27
suhbaatar,mn,0,1527813189,54,50.23,106.21,72.23,72.23,4.61
pemangkat,id,,,,,,,,
zhongshu,cn,88,1527813189,96,24.52,103.77,60.71,60.71,3.71
aksarayskiy,ru,0,1527811200,72,46.79,48.01,60.8,60.8,6.71
amazar,ru,0,1527813190,68,53.86,120.88,68.18,68.18,3.15
kambia,sl,36,1527813190,96,9.13,-12.92,80.15,80.15,10.42
verkhoyansk,ru,36,1527813190,65,67.55,133.39,48.38,48.38,3.6
bubaque,gw,0,1527807600,74,11.28,-15.83,78.8,78.8,3.36
seoul,kr,1,1527810960,73,37.57,126.98,73.4,71.26,3.6
rungata,ki,,,,,,,,
mehamn,no,92,1527813191,98,71.03,27.85,43.52,43.52,3.83
altay,cn,0,1527812983,62,47.83,88.13,29.75,29.75,2.15
chernyakhiv,ua,0,1527813191,32,50.46,28.67,59.63,59.63,11.54
namikupa,tz,0,1527813191,93,-10.84,39.63,65.66,65.66,5.39
guerrero negro,mx,0,1527813192,68,27.97,-114.04,69.35,69.35,14.45
nuziders,at,92,1527812400,82,47.17,9.8,62.6,61.77,3.36
humaita,br,90,1527811200,100,-24.93,-65.37,48.2,48.2,9.17
cubuk,tr,40,1527810600,76,40.24,33.03,57.2,57.2,10.29
peniche,pt,20,1527811200,82,39.36,-9.38,57.2,56.3,6.93
payson,us,75,1527810960,30,40.04,-111.73,84.2,82.63,18.34
chokurdakh,ru,8,1527813017,100,70.62,147.9,29.66,29.66,7.18
labuhan,id,80,1527813193,94,-2.54,115.51,74.03,74.03,1.48
gainesville,us,75,1527810900,78,29.65,-82.33,82.4,81.84,3.36
seminole,us,1,1527812100,8,32.72,-102.64,102.2,101.26,5.82
lebanon,us,90,1527812100,64,43.64,-72.25,78.8,75.2,10.29
buchanan,lr,75,1527811200,94,5.88,-10.05,77,77,4.61
serebryanyy bor,ru,0,1527813194,80,56.8,124.8,56.48,56.48,3.38
cidreira,br,88,1527813195,95,-30.17,-50.22,63.77,63.77,5.17
san quintin,mx,20,1527811200,79,17.54,120.52,86,86,2.24
banda aceh,id,64,1527813195,95,5.56,95.32,76.46,76.46,2.71
olinda,br,75,1527811200,78,-2.03,-79.75,75.2,75.2,12.75
nchelenge,zm,0,1527813196,77,-9.35,28.74,58.55,58.55,2.37
coahuayana,mx,0,1527813196,32,18.62,-100.35,91.58,91.58,2.93
marzuq,ly,76,1527813196,55,14.4,46.47,72.77,72.77,0.92
mergui,mm,,,,,,,,
cobija,bo,20,1527807600,74,-11.02,-68.77,84.2,84.2,2.59
linhares,br,0,1527813197,93,-19.38,-40.06,64.67,64.67,3.15
lasa,cn,20,1527811200,82,34.92,32.53,69.8,69.01,5.82
kapuskasing,ca,40,1527808320,93,49.42,-82.43,53.6,53.6,20.8
lukulu,zm,0,1527813197,61,-14.38,23.24,54.23,54.23,4.16
akureyri,is,0,1527811200,93,65.68,-18.09,41,41,2.24
ostroleka,pl,0,1527813198,46,53.09,21.58,66.2,66.2,10.31
quesnel,ca,40,1527811200,36,52.98,-122.49,62.6,62.6,12.75
leo,bf,0,1527813198,70,11.1,-2.1,80.78,80.78,5.17
chazuta,pe,20,1527811200,83,-6.57,-76.13,78.8,78.8,3.36
jiddah,sa,,,,,,,,
beira,mz,92,1527811200,87,43.2,-8.36,55.4,53.49,9.17
bilibino,ru,80,1527813199,70,68.06,166.44,43.16,43.16,4.38
naco,mx,1,1527811140,4,31.32,-109.94,93.2,91.36,17.22
yeppoon,au,0,1527811200,33,-23.13,150.74,62.6,62.6,12.75
uige,ao,0,1527813199,90,-7.61,15.06,63.5,63.5,2.26
sarahan,in,24,1527813200,93,31.51,77.79,19.67,19.67,1.92
yhu,py,92,1527813200,73,-25.05,-55.92,71.42,71.42,2.48
kuche,cn,,,,,,,,
kendari,id,92,1527813200,96,-3.99,122.52,76.46,76.46,2.48
zhitikara,kz,,,,,,,,
tezu,in,32,1527813200,84,27.93,96.16,65.03,65.03,1.81
celestun,mx,0,1527813201,94,20.87,-90.4,84.38,84.38,10.76
rotenburg,de,0,1527812400,77,53.12,9.4,68,65.71,4.7
kavaratti,in,92,1527813201,100,10.57,72.64,79.97,79.97,13.22
evensk,ru,92,1527813201,100,61.92,159.24,36.77,36.77,5.95
bosobolo,cd,88,1527813203,98,4.19,19.88,69.89,69.89,3.15
kasulu,tz,0,1527813203,77,-4.57,30.11,58.37,58.37,1.92
half moon bay,us,75,1527811200,71,37.46,-122.43,64.4,61.02,18.34
hamilton,bm,75,1527811920,73,43.26,-79.87,75.2,73.06,17.22
yar-sale,ru,88,1527813205,95,66.83,70.83,32.9,32.9,22.84
poya,nc,0,1527813205,100,-21.35,165.16,73.13,73.13,8.41
kaa-khem,ru,0,1527813205,69,51.7,94.56,46.22,46.22,5.73
lufilufi,ws,40,1527807600,66,-13.87,-171.6,87.8,87.8,11.41
narrabri,au,0,1527813205,56,-30.33,149.78,49.73,49.73,6.17
road town,vg,40,1527811200,69,18.42,-64.62,80.6,80.6,6.93
chapais,ca,75,1527811200,73,49.78,-74.86,73.4,73.4,25.28
asosa,et,48,1527812999,91,10.07,34.53,60.89,60.89,2.82
whitley bay,gb,90,1527812400,93,55.04,-1.44,53.6,52.54,1.12
touros,br,68,1527813206,96,-5.2,-35.46,77,77,13.44
bengkalis,id,,,,,,,,
chake chake,tz,92,1527813207,100,-5.25,39.77,78.53,78.53,15.46
vilyuysk,ru,48,1527813207,33,63.75,121.63,62.42,62.42,6.96
progreso,mx,90,1527811200,76,-34.68,-56.22,55.4,55.4,13.87
nouadhibou,mr,0,1527811200,72,20.93,-17.03,68,68,12.75
fortuna,us,0,1527811200,88,38.18,-1.13,64.4,64.4,2.93
laguna,br,20,1527810120,6,27.52,-110.01,100.4,100.4,14.99
tacuati,py,92,1527813208,100,-23.46,-56.74,68.18,68.18,4.38
malakal,sd,,,,,,,,
marcona,pe,,,,,,,,
tartus,sy,,,,,,,,
makakilo city,us,75,1527811020,54,21.35,-158.09,84.2,81.95,11.41
hofn,is,0,1527813209,94,64.25,-15.21,47.75,47.75,6.62
sao jose da coroa grande,br,44,1527813209,94,-8.9,-35.15,73.13,73.13,6.73
nizwa,om,0,1527813210,33,22.93,57.53,75.56,75.56,3.15
erenhot,cn,0,1527813210,56,43.65,111.97,64.58,64.58,5.39
cabra,ph,8,1527811200,67,37.47,-4.43,66.2,63.81,4.7
malumfashi,ng,8,1527813210,76,11.79,7.62,75.02,75.02,2.71
acari,pe,8,1527813210,84,-6.44,-36.64,71.24,71.24,12.33
aswan,eg,0,1527807600,23,24.09,32.9,84.2,84.2,5.82
chimbote,pe,48,1527813211,98,-9.08,-78.59,63.05,63.05,7.74
koshurnikovo,ru,92,1527813211,79,54.3,93.39,39.11,39.11,6.85
ambilobe,mg,12,1527813211,84,-13.19,49.05,65.57,65.57,4.61
la ronge,ca,90,1527811200,93,55.1,-105.3,46.4,46.4,9.17
samana,do,0,1527807600,83,0.12,-76.97,78.8,78.8,2.24
obernai,fr,92,1527812400,93,48.46,7.48,62.6,62.6,5.82
mutsamudu,km,,,,,,,,
los llanos de aridane,es,0,1527811200,68,28.66,-17.92,64.4,64.4,11.41
chagda,ru,,,,,,,,
sompeta,in,8,1527813213,91,18.93,84.6,77.9,77.9,4.72
russell,nz,75,1527811200,93,-33.01,-68.8,39.2,39.2,6.93
ivanivka,ua,0,1527811200,43,46.98,30.46,73.4,73.4,13.42
hobyo,so,20,1527813029,86,5.35,48.53,78.71,78.71,17.25
san cristobal,ec,40,1527811200,62,-0.39,-78.55,59,59,8.05
wembley,ca,75,1527812400,93,51.55,-0.3,62.6,60.78,2.24
dunedin,nz,0,1527812998,81,-45.87,170.5,37.22,37.22,4.05
georgetown,sh,75,1527811200,94,6.8,-58.16,77,77,4.7
brza palanka,rs,0,1527813215,89,44.47,22.44,56.66,56.66,1.92
farafangana,mg,92,1527813216,100,-22.82,47.83,74.3,74.3,8.41
svetlogorsk,ru,68,1527811200,93,53.14,59.15,35.6,35.6,2.24
rundu,na,12,1527813216,57,-17.91,19.77,59.18,59.18,2.93
kununurra,au,0,1527811200,27,-15.77,128.74,75.2,75.2,8.05
sola,vu,8,1527812400,82,58.89,5.65,64.4,63.61,6.93
pingliang,cn,68,1527813217,64,35.54,106.68,58.46,58.46,4.72
lewiston,us,1,1527810960,52,44.1,-70.21,69.8,66.52,9.17
mount isa,au,0,1527811200,17,-20.73,139.49,66.2,66.2,9.17
tombouctou,ml,0,1527813217,34,16.77,-3.01,87.17,87.17,10.76
ahuimanu,us,40,1527811020,74,21.44,-157.84,84.2,81.97,11.41
port hawkesbury,ca,1,1527811200,61,45.62,-61.36,50,50,3.36
zhigansk,ru,92,1527813218,72,66.77,123.37,47.03,47.03,5.61
rajshahi,bd,92,1527813218,100,24.37,88.59,73.76,73.76,7.96
saint-francois,gp,20,1527811200,87,46.42,3.91,59,59,3.36
west bay,ky,40,1527812400,100,50.71,-2.76,57.2,57.2,4.7
mogochin,ru,,,,,,,,
aksarka,ru,92,1527813219,97,66.56,67.8,32.27,32.27,23.06
mehriz,ir,20,1527811200,20,31.58,54.44,82.4,82.4,6.93
morondava,mg,0,1527813220,100,-20.3,44.28,65.39,65.39,1.59
alpena,us,75,1527812100,83,45.06,-83.43,82.4,70.59,9.17
adrar,dz,40,1527811200,26,27.87,-0.29,82.4,82.4,9.17
ozgon,kg,,,,,,,,
katangli,ru,0,1527813221,56,51.71,143.23,52.43,52.43,10.65
clyde river,ca,90,1527811260,97,70.47,-68.59,32,32,5.82
buraydah,sa,40,1527811200,21,26.33,43.97,89.6,89.6,12.75
herat,af,0,1527813221,43,34.35,62.22,55.13,55.13,5.95
henzada,mm,,,,,,,,
karauzyak,uz,,,,,,,,
berlevag,no,92,1527813222,97,70.86,29.09,43.79,43.79,3.27
guaruja,br,24,1527811200,77,-23.99,-46.26,69.8,67.17,4.7
raga,sd,,,,,,,,
vardo,no,90,1527812100,94,39.62,-77.74,73.4,70.83,5.82
marion,us,40,1527812100,55,35.21,-90.2,89.6,86.88,10.29
ossora,ru,8,1527813223,98,59.24,163.07,38.66,38.66,4.38
klaksvik,fo,8,1527812400,100,62.23,-6.59,44.6,44.6,2.24
lahat,id,92,1527813223,98,-3.78,103.55,72.5,72.5,3.71
san javier,cl,0,1527811200,88,37.81,-0.83,64.4,64.4,3.27
kyra,ru,,,,,,,,
chiriguana,co,0,1527813224,86,9.36,-73.6,83.75,83.75,2.71
cockburn town,bs,36,1527813224,98,21.46,-71.14,79.34,79.34,15.35
savannah bight,hn,76,1527813224,97,16.45,-85.85,83.75,83.75,24.29
kapoeta,sd,,,,,,,,
santiago,mx,75,1527811200,70,-33.44,-70.65,48.2,48.2,10.29
magaria,ne,0,1527813226,60,13,8.91,78.53,78.53,3.6
xinzhou,cn,0,1527813226,68,38.41,112.73,63.05,63.05,3.04
vila franca do campo,pt,40,1527811200,82,37.72,-25.43,64.4,64.4,8.05
sorong,id,92,1527813227,100,-0.86,131.25,76.73,76.73,1.48
ikalamavony,mg,68,1527813227,85,-21.17,46.6,44.06,44.06,2.37
bayan,kw,0,1527813227,22,47.25,107.54,67.19,67.19,8.97
portland,au,75,1527810960,42,45.52,-122.67,64.4,62.62,3.36
sangar,ru,0,1527813228,56,63.92,127.47,51.35,51.35,5.17
tsienyane,bw,,,,,,,,
kattivakkam,in,20,1527809400,70,13.22,80.32,87.8,87.8,3.36
luba,gq,0,1527813229,86,17.32,120.7,81.32,81.32,3.71
zambezi,zm,0,1527813229,57,-13.55,23.12,56.57,56.57,5.61
maragogi,br,44,1527813230,94,-9.01,-35.22,73.13,73.13,6.73
havre-saint-pierre,ca,1,1527811200,54,50.23,-63.6,53.6,53.6,2.24
matina,cr,0,1527811200,88,10.08,-83.29,80.6,80.6,2.24
kaseda,jp,40,1527811200,77,31.42,130.32,66.2,66.2,5.82
rock sound,bs,8,1527813230,98,24.9,-76.2,79.97,79.97,13.22
stavern,no,0,1527812400,76,59,10.03,57.2,57.2,3.36
soe,id,0,1527810600,75,57.91,26.05,41,41,1.12
korla,cn,,,,,,,,
besikduzu,tr,75,1527810600,73,41.05,39.23,69.8,69.8,3.36
plateros,mx,40,1527810300,11,23.23,-102.84,91.4,91.4,11.41
mount pleasant,us,1,1527810960,49,33.16,-94.97,93.2,91.76,10.29
lac du bonnet,ca,64,1527813233,66,50.25,-96.06,63.95,63.95,13.33
buala,sb,44,1527813233,83,-8.15,159.59,85.28,85.28,4.61
necochea,ar,56,1527813016,81,-38.55,-58.74,46.67,46.67,12.55
orkney,za,0,1527813233,91,-26.98,26.67,44.06,44.06,7.74
bezdan,rs,0,1527811200,77,45.85,18.93,60.8,60.8,3.36
tungkang,tw,,,,,,,,
la plata,ar,90,1527811200,93,-34.92,-57.95,53.6,52.72,9.17
port moresby,pg,0,1527813234,92,-9.47,147.16,80.24,80.24,22.28
baoqing,cn,0,1527813234,53,46.32,132.2,74.66,74.66,3.71
baykit,ru,76,1527813234,64,61.68,96.39,42.8,42.8,7.63
kieta,pg,88,1527813235,100,-6.22,155.63,80.6,80.6,4.61
pizarro,co,48,1527813235,87,4.95,-77.37,82.22,82.22,7.18
lozuvatka,ua,0,1527813235,39,49.68,35.29,56.12,56.12,13.78
fairbanks,us,90,1527811080,66,64.84,-147.72,60.8,58.48,6.93
parkes,au,0,1527812943,76,-33.14,148.18,46.13,46.13,8.08
lawton,us,1,1527812100,63,34.61,-98.39,102.2,95.58,13.87
kaduqli,sd,24,1527813236,95,11.01,29.72,69.35,69.35,2.59
pindwara,in,8,1527813236,75,24.79,73.05,77.18,77.18,5.61
agadez,ne,0,1527813236,20,16.97,7.99,80.06,80.06,5.95
talcahuano,cl,0,1527811200,76,-36.72,-73.12,48.2,48.2,6.93
moree,au,0,1527813237,65,-29.46,149.84,51.35,51.35,7.52
atikokan,ca,20,1527813237,73,48.76,-91.62,63.95,63.95,7.52
enid,us,1,1527812100,52,36.4,-97.88,95,91.98,4.7
puerto escondido,co,40,1527810000,74,15.86,-97.07,86,86,8.05
bindi,sl,0,1527813238,73,12.86,8.84,76.73,76.73,2.71
lobito,ao,0,1527813238,92,-12.35,13.55,62.6,62.6,2.37
abalak,ne,0,1527813238,66,15.46,6.28,78.53,78.53,2.82
santa marta,co,40,1527811200,66,11.24,-74.21,86,86,9.17
la libertad,sv,0,1527811200,23,-16.38,-71.56,50,50,5.82
naze,jp,20,1527811200,88,5.43,7.07,78.8,78.8,2.24
khanu woralaksaburi,th,92,1527813239,100,16.06,99.86,72.5,72.5,5.17
blonduos,is,,,,,,,,
pekan,my,75,1527807600,94,3.49,103.39,75.2,75.2,1.12
samarai,pg,76,1527813240,99,-10.62,150.67,79.7,79.7,17.13
kisangani,cd,12,1527813240,96,0.52,25.21,74.03,74.03,1.48
zyryanka,ru,76,1527813240,59,65.73,150.89,40.37,40.37,7.29
kropachevo,ru,12,1527813241,73,55.01,57.99,30.65,30.65,4.72
sao felix do xingu,br,12,1527813241,54,-6.64,-51.99,81.95,81.95,3.71
khromtau,kz,64,1527813241,97,50.26,58.44,47.03,47.03,6.51
mahibadhoo,mv,88,1527813241,94,3.78,72.97,85.55,85.55,19.71
satitoa,ws,,,,,,,,
pozo colorado,py,100,1527813242,99,-23.49,-58.8,68.27,68.27,2.59
kurilsk,ru,12,1527813242,95,45.23,147.88,44.87,44.87,15.79
manzhouli,cn,36,1527813242,48,49.6,117.43,77,77,4.61
qaqortoq,gl,36,1527810600,65,60.72,-46.03,44.6,44.6,2.24
ixtapa,mx,5,1527810300,79,20.71,-105.21,84.2,84.2,12.75
susurluk,tr,0,1527810600,82,39.91,28.16,57.2,57.2,2.71
moron,mn,40,1527807600,58,10.49,-68.2,86,86,5.82
gari,ru,92,1527813243,99,59.43,62.35,38.21,38.21,5.5
izumo,jp,40,1527811200,64,35.37,132.75,68,68,1.12
itarema,br,48,1527813245,77,-2.92,-39.92,80.69,80.69,11.1
linares,cl,0,1527813245,71,-35.85,-71.6,29.48,29.48,2.15
anadyr,ru,75,1527811200,86,64.73,177.51,41,41,17.9
charters towers,au,0,1527813245,68,-20.07,146.27,55.76,55.76,8.08
barawe,so,,,,,,,,
deputatskiy,ru,64,1527813246,77,69.3,139.9,42.53,42.53,3.94
wawa,ca,0,1527813246,81,9.9,4.41,79.34,79.34,3.6
angren,uz,0,1527813246,59,41.01,70.08,43.07,43.07,1.81
mapiripan,co,32,1527813247,85,2.89,-72.13,78.53,78.53,2.71
sindor,ru,64,1527813247,59,62.87,51.9,33.8,33.8,15.46
shahrud,ir,56,1527813247,57,36.42,54.97,56.21,56.21,3.15
belyy yar,ru,0,1527811200,57,53.6,91.39,51.8,51.8,11.18
ust-ilimsk,ru,68,1527813247,71,57.96,102.73,60.26,60.26,8.63
swan hill,au,0,1527813248,85,-35.34,143.56,47.12,47.12,6.62
arlit,ne,0,1527813248,21,18.74,7.39,76.73,76.73,4.27
hauterive,ca,75,1527811200,93,46.09,3.45,59,58.14,1.12
las navas,ph,48,1527813248,100,12.34,125.03,83.3,83.3,4.72
muravlenko,ru,92,1527813249,87,63.79,74.5,40.28,40.28,19.6
srednekolymsk,ru,20,1527813249,64,67.46,153.71,41,41,7.4
brest,by,0,1527813249,47,52.09,23.69,63.95,63.95,10.98
silvania,br,40,1527811200,67,4.4,-74.39,87.8,78.4,17.22
nema,ru,88,1527813249,65,57.51,50.5,36.68,36.68,11.77
usevya,tz,,,,,,,,
tadine,nc,0,1527813029,93,-21.55,167.88,76.1,76.1,6.62
brewster,us,20,1527812100,82,41.76,-70.08,68,63.64,6.93
balagansk,ru,88,1527813250,74,54.01,103.05,56.12,56.12,16.46
ndiekro,ci,,,,,,,,
ngukurr,au,,,,,,,,
haslett,us,1,1527812220,65,42.75,-84.4,82.4,80.8,3.36
kloulklubed,pw,75,1527810780,79,7.04,134.26,84.2,84.2,6.93
winslow,us,90,1527812760,93,51.94,-0.88,62.6,62.02,3.36
jawhar,so,88,1527813251,89,19.91,73.23,80.15,80.15,6.06
sayansk,ru,92,1527813251,89,54.11,102.18,50,50,16.24
bara,sd,8,1527813252,69,10.41,10.6,77.09,77.09,6.73
barwaha,in,,,,,,,,
yerbogachen,ru,8,1527813252,59,61.28,108.01,64.58,64.58,2.71
pell city,us,1,1527810960,78,33.59,-86.29,84.2,83.14,4.7
barranca,pe,76,1527813253,100,-10.75,-77.76,62.15,62.15,11.43
polyarnyy,ru,40,1527811200,65,69.2,33.45,44.6,44.6,4.47
wagar,sd,0,1527813253,66,31.44,-87.99,85.37,85.37,4.61
andenes,no,,,,,,,,
ust-kuyga,ru,32,1527813253,81,70,135.55,45.5,45.5,3.27
ouegoa,nc,0,1527813254,72,-20.34,164.44,75.47,75.47,5.17
talara,pe,0,1527813254,75,-4.58,-81.27,71.51,71.51,9.19
joshimath,in,8,1527813254,84,30.57,79.57,19.85,19.85,1.59
bellary,in,56,1527813254,88,15.15,76.93,74.66,74.66,7.74
